Line Item Quantity,Line Item Value,Pack Price,Unit Price,LineItemInsurance,Delay,Shipment Mode
50,490.0,9.8,0.12,0.96,0,Ground_Sea
5000,41300.0,8.26,0.14,80.95,-127,Ground_Sea
460,2838.2,6.17,0.03,5.56,-135,Ground_Sea
1634,16.34,0.01,0.0,0.03,-27,Air_All
400,15760.0,39.4,0.22,25.22,0,Ground_Sea
6,47.28,7.88,0.09,0.08,0,Ground_Sea
500,10925.0,21.85,0.73,17.48,0,Ground_Sea
1130,11.3,0.01,0.0,0.02,0,Air_All
670,24783.3,36.99,0.21,39.65,-104,Ground_Sea
1000,16630.0,16.63,0.28,26.61,-98,Ground_Sea
30,435.9,14.53,0.06,0.7,-104,Ground_Sea
50,663.5,13.27,0.22,1.06,-85,Ground_Sea
250,715.0,2.86,0.1,1.14,-91,Ground_Sea
60,1096.2,18.27,0.61,1.75,-91,Ground_Sea
12,150.48,12.54,0.06,0.24,-91,Ground_Sea
300,7080.0,23.6,0.79,11.33,-11,Ground_Sea
40,557.6,13.94,0.06,0.89,-11,Ground_Sea
1300,20410.0,15.7,0.52,40.0,-220,Ground_Sea
120,733.2,6.11,0.03,1.44,-220,Ground_Sea
6,424.08,70.68,0.26,0.83,-220,Ground_Sea
40,540.4,13.51,0.06,1.06,-220,Ground_Sea
176,3359.84,19.09,0.21,6.59,-109,Air_All
5017,24583.3,4.9,0.08,48.18,-113,Air_All
929,3390.85,3.65,0.02,6.65,-119,Air_All
6700,36582.0,5.46,0.09,71.7,-145,Air_All
1120,16307.2,14.56,0.49,31.96,-124,Air_All
100,371.0,3.71,0.06,0.73,-130,Air_All
1000,2920.0,2.92,0.05,5.72,-68,Air_All
260,4035.2,15.52,0.26,7.91,-68,Air_All
5000,160900.0,32.18,0.36,315.36,0,Ground_Sea
166,2265.9,13.65,2.73,4.44,-66,Air_All
1500,15150.0,10.1,0.17,29.69,-66,Air_All
40,1440.0,36.0,0.12,2.82,-102,Air_All
6,43.2,7.2,0.08,0.08,-88,Ground_Sea
6,43.2,7.2,0.08,0.08,-53,Ground_Sea
120,840.0,7.0,0.12,1.65,0,Air_All
20,438.0,21.9,0.73,0.86,-129,Ground_Sea
320,1475.2,4.61,0.08,2.89,0,Ground_Sea
150,11250.0,75.0,3.0,18.0,0,Air_All
400,8416.0,21.04,0.7,13.47,-102,Ground_Sea
805,62967.1,78.22,0.78,100.75,0,Air_All
4200,42.0,0.01,0.0,0.07,0,Air_All
20,563.0,28.15,0.31,0.9,-55,Ground_Sea
2500,37500.0,15.0,0.5,60.0,0,Ground_Sea
100,1.0,0.01,0.0,0.0,-24,Air_All
81,3798.09,46.89,2.34,6.08,176,Air_All
4,38.88,9.72,0.12,0.06,-98,Ground_Sea
150,3166.5,21.11,0.35,5.07,-104,Ground_Sea
1350,6979.5,5.17,0.09,11.17,-104,Ground_Sea
1000,16190.0,16.19,0.54,25.9,-91,Ground_Sea
60,360.6,6.01,0.03,0.58,-7,Ground_Sea
130,644.8,4.96,0.08,1.03,-11,Ground_Sea
40,1337.2,33.43,0.56,2.14,-7,Ground_Sea
1,75.0,75.0,3.0,0.12,0,Air_All
1200,5772.0,4.81,0.08,11.31,-220,Ground_Sea
1000,3970.0,3.97,0.07,7.78,-109,Air_All
3675,9371.25,2.55,0.04,18.37,-109,Air_All
824,15515.92,18.83,0.21,30.41,-113,Air_All
10560,163046.4,15.44,0.26,319.57,-131,Air_All
1560,23649.6,15.16,0.25,46.35,-213,Air_All
360,849.6,2.36,0.08,1.67,-137,Air_All
3000,5970.0,1.99,0.01,11.7,-124,Air_All
1977,23091.36,11.68,0.19,45.26,-75,Air_All
282,4314.6,15.3,0.51,8.46,-61,Air_All
30,312.6,10.42,0.04,0.61,-130,Air_All
60,1095.0,18.25,0.61,2.15,-68,Air_All
10,125.1,12.51,2.5,0.25,-68,Air_All
2,114.9,57.45,0.21,0.23,-66,Air_All
20,147.0,7.35,0.09,0.29,-66,Air_All
334,4559.1,13.65,2.73,8.94,-66,Air_All
3500,44170.0,12.62,0.42,86.57,-78,Air_All
2000,43360.0,21.68,0.24,84.99,-78,Air_All
1400,49532.0,35.38,0.29,97.08,-77,Air_All
1800,7110.0,3.95,0.07,13.94,-77,Air_All
800,9888.0,12.36,0.12,19.38,-65,Air_All
36,254.88,7.08,0.12,0.5,-20,Ground_Sea
30,371.1,12.37,0.12,0.73,-11,Ground_Sea
120,840.0,7.0,0.12,1.65,0,Air_All
360,7041.6,19.56,0.33,13.8,-142,Ground_Sea
40,678.8,16.97,0.57,1.33,-142,Ground_Sea
200,3136.0,15.68,0.26,6.15,-135,Ground_Sea
30,328.2,10.94,0.05,0.64,-135,Ground_Sea
30,2298.0,76.6,0.28,4.5,-135,Ground_Sea
300,7440.0,24.8,0.83,14.58,22,Ground_Sea
300,3.0,0.01,0.0,0.0,-30,Air_All
442,4.42,0.01,0.0,0.01,0,Air_All
800,21720.0,27.15,0.9,34.75,-88,Ground_Sea
200,2.0,0.01,0.0,0.0,0,Air_All
500,39500.0,79.0,1.98,63.2,0,Air_All
142,1.42,0.01,0.0,0.0,59,Air_All
1000,6410.0,6.41,0.03,10.26,0,Ground_Sea
30,2550.0,85.0,0.85,4.08,-106,Air_All
4,52.96,13.24,0.22,0.08,-104,Ground_Sea
400,9536.0,23.84,0.79,15.26,-180,Ground_Sea
2597,61470.99,23.67,0.79,120.48,237,Air_All
545,3815.0,7.0,0.12,7.48,0,Air_All
200,592.0,2.96,0.1,1.16,-220,Ground_Sea
7000,113050.0,16.15,0.54,221.58,-109,Air_All
983,4875.68,4.96,0.08,9.56,-109,Air_All
1325,3339.0,2.52,0.04,6.54,-113,Air_All
2880,44812.8,15.56,0.26,87.83,-119,Air_All
6800,82620.0,12.15,0.2,161.94,-139,Air_All
3414,49810.26,14.59,0.49,97.63,-155,Air_All
5000,62750.0,12.55,0.21,122.99,-213,Air_All
6215,102609.65,16.51,0.55,201.11,-133,Air_All
3000,7470.0,2.49,0.08,14.64,-133,Air_All
500,1530.0,3.06,0.1,3.0,-124,Air_All
1200,14532.0,12.11,0.4,28.48,-130,Air_All
500,8820.0,17.64,0.59,17.29,-130,Air_All
80,2336.0,29.2,0.97,4.58,-130,Air_All
1,5.97,5.97,0.07,0.01,-44,Air_All
500,6555.0,13.11,0.22,12.85,-39,Air_All
300,1179.0,3.93,0.07,2.31,-21,Air_All
80,188.8,2.36,0.08,0.37,-68,Air_All
28,1578.92,56.39,0.21,3.09,-68,Air_All
30,829.5,27.65,0.31,1.63,-68,Air_All
108,610.2,5.65,0.02,1.2,0,Air_All
9620,68109.6,7.08,0.12,133.49,-71,Air_All
250,5315.0,21.26,0.71,10.42,-4,Ground_Sea
100,3220.0,32.2,0.36,6.31,0,Ground_Sea
400,14400.0,36.0,0.3,28.22,-24,Ground_Sea
30,1081.8,36.06,0.6,2.12,-142,Ground_Sea
200,8396.0,41.98,0.35,16.46,-135,Ground_Sea
450,4.5,0.01,0.0,0.01,0,Air_All
1436,14.36,0.01,0.0,0.02,-207,Air_All
2000,20.0,0.01,0.0,0.03,0,Air_All
285,2.85,0.01,0.0,0.0,-120,Air_All
1000,16400.0,16.4,0.27,26.24,-55,Ground_Sea
200,978.0,4.89,0.08,1.56,0,Ground_Sea
20,723.4,36.17,1.21,1.16,0,Ground_Sea
100,1.0,0.01,0.0,0.0,0,Air_All
8,397.92,49.74,0.83,0.64,-98,Ground_Sea
4,56.16,14.04,0.23,0.09,-104,Ground_Sea
30,738.3,24.61,0.82,1.18,-104,Ground_Sea
6,78.48,13.08,0.07,0.13,-104,Ground_Sea
30,1171.5,39.05,1.3,1.87,-91,Ground_Sea
350,1736.0,4.96,0.08,2.78,-11,Ground_Sea
100,1828.0,18.28,0.61,2.92,-11,Ground_Sea
120,2355.6,19.63,0.33,4.62,-220,Ground_Sea
108,4050.0,37.5,1.5,7.94,-89,Air_All
5000,27450.0,5.49,0.09,53.8,-109,Air_All
1320,1504.8,1.14,0.01,2.95,-119,Air_All
500,1000.0,2.0,0.01,1.96,-119,Air_All
10260,39193.2,3.82,0.06,76.82,-131,Air_All
20213,50734.63,2.51,0.04,99.44,-139,Air_All
1140,4286.4,3.76,0.06,8.4,-213,Air_All
400,440.0,1.1,0.01,0.86,-130,Air_All
44,237.6,5.4,0.02,0.47,0,Air_All
1600,26624.0,16.64,0.55,52.18,-68,Air_All
800,9856.0,12.32,0.21,19.32,-68,Air_All
3304,18667.6,5.65,0.02,40.25,127,Air_All
1200,7248.0,6.04,0.03,14.21,-78,Air_All
2775,8325.0,3.0,0.05,16.32,-65,Air_All
150,1407.0,9.38,0.04,2.76,-71,Air_All
6500,82030.0,12.62,0.42,160.78,-70,Air_All
650,13819.0,21.26,0.71,27.09,0,Ground_Sea
2000,25040.0,12.52,0.42,49.08,-25,Ground_Sea
24,94.8,3.95,0.07,0.19,63,Ground_Sea
120,840.0,7.0,0.12,1.65,0,Air_All
50,2099.0,41.98,0.14,4.11,8,Ground_Sea
140,3540.6,25.29,0.28,6.94,-129,Ground_Sea
44,859.65,19.54,0.65,1.38,89,Air_All
132,3300.0,25.0,0.1,5.28,-89,Air_All
1968,40717.92,20.69,0.69,65.15,-233,Ground_Sea
10,394.0,39.4,0.13,0.63,0,Ground_Sea
100,676.0,6.76,0.03,1.08,0,Ground_Sea
40,1479.6,36.99,0.12,2.37,-104,Ground_Sea
150,5737.5,38.25,1.27,9.18,-6,Ground_Sea
1500,23790.0,15.86,0.53,38.06,-104,Ground_Sea
470,2942.2,6.26,0.03,4.71,-98,Ground_Sea
140,960.4,6.86,0.03,1.54,-98,Ground_Sea
60,2368.2,39.47,1.32,3.79,0,Ground_Sea
120,2428.8,20.24,0.34,3.89,-91,Ground_Sea
6875,68.75,0.01,0.0,0.11,-97,Air_All
240,4860.0,20.25,0.34,7.78,-7,Ground_Sea
120,176.4,1.47,0.01,0.28,-11,Ground_Sea
350,4417.0,12.62,0.21,8.66,-220,Ground_Sea
10,123.1,12.31,0.21,0.24,-220,Ground_Sea
300,3699.0,12.33,0.21,7.25,-109,Air_All
540,2030.4,3.76,0.02,3.98,-109,Air_All
1500,47880.0,31.92,0.27,93.84,-109,Air_All
6734,98383.74,14.61,0.49,192.83,-119,Air_All
2996,9197.72,3.07,0.1,18.03,-222,Air_All
30,1634.7,54.49,0.2,3.2,-130,Air_All
400,912.0,2.28,0.08,1.79,-130,Air_All
10,100.6,10.06,0.17,0.2,-130,Air_All
650,741.0,1.14,0.01,1.45,-68,Air_All
350,1781.5,5.09,0.02,3.49,-68,Air_All
70,2163.7,30.91,0.1,4.24,-68,Air_All
440,15831.2,35.98,0.12,31.03,0,Ground_Sea
1500,3150.0,2.1,0.01,6.17,-72,Air_All
2965,106680.7,35.98,0.3,209.09,-66,Air_All
1900,10564.0,5.56,0.02,20.71,-65,Air_All
4553,13659.0,3.0,0.05,26.77,-20,Ground_Sea
600,1890.0,3.15,0.1,3.7,-59,Ground_Sea
300,5031.0,16.77,0.28,9.86,-28,Ground_Sea
712,8964.08,12.59,0.06,14.34,-89,Air_All
3000,30.0,0.01,0.0,0.05,-60,Air_All
500,39500.0,79.0,1.98,63.2,0,Air_All
100,1.0,0.01,0.0,0.0,-20,Air_All
100,517.0,5.17,0.09,0.83,-104,Ground_Sea
80,1968.0,24.6,0.82,3.15,-104,Ground_Sea
240,717.6,2.99,0.1,1.15,-104,Ground_Sea
10,354.6,35.46,0.12,0.57,-91,Ground_Sea
1500,24300.0,16.2,0.54,38.88,-11,Ground_Sea
200,572.0,2.86,0.1,0.92,-11,Ground_Sea
3991,201146.4,50.4,1.68,394.25,-207,Air_All
90,2834.1,31.49,0.1,5.55,-113,Air_All
3710,60732.7,16.37,0.55,119.04,-130,Air_All
25637,63323.39,2.47,0.04,124.11,30,Air_All
1200,6564.0,5.47,0.09,12.87,-151,Air_All
16000,85280.0,5.33,0.09,167.15,-155,Air_All
2000,10380.0,5.19,0.02,20.34,-213,Air_All
1500,5445.0,3.63,0.02,10.67,-124,Air_All
4023,46988.64,11.68,0.19,92.1,-75,Air_All
200,2998.0,14.99,0.25,5.88,-130,Air_All
100,2454.0,24.54,0.27,4.81,-130,Air_All
80,2388.8,29.86,0.1,4.68,-44,Air_All
200,6182.0,30.91,0.26,12.12,-68,Air_All
140,833.0,5.95,0.03,1.63,-68,Air_All
60,1813.2,30.22,1.01,3.55,-68,Air_All
30,323.4,10.78,0.04,0.63,-68,Air_All
2160,23133.6,10.71,0.18,45.34,-69,Air_All
6000,100560.0,16.76,0.28,197.1,-71,Air_All
6840,73256.4,10.71,0.18,143.58,-70,Air_All
10,84.0,8.4,0.1,0.16,-101,Ground_Sea
80,1502.4,18.78,0.63,2.94,0,Ground_Sea
80,560.0,7.0,0.12,1.1,0,Air_All
1000,17020.0,17.02,0.57,33.36,-142,Ground_Sea
260,10670.4,41.04,1.37,20.91,-142,Ground_Sea
1200,2796.0,2.33,0.01,6.03,-63,Ground_Sea
600,3426.0,5.71,0.1,5.48,-102,Ground_Sea
80,2252.0,28.15,0.31,3.6,0,Ground_Sea
10,91.9,9.19,0.11,0.15,0,Ground_Sea
1000,4890.0,4.89,0.08,7.82,0,Ground_Sea
200,596.0,2.98,0.1,0.95,0,Ground_Sea
80,2572.0,32.15,0.36,4.12,-104,Ground_Sea
20,765.0,38.25,1.27,1.22,-98,Ground_Sea
4,285.52,71.38,0.26,0.46,-98,Ground_Sea
550,6820.0,12.4,0.21,10.91,-7,Ground_Sea
10,125.4,12.54,0.06,0.2,-11,Ground_Sea
110,12650.0,115.0,1.15,24.79,0,Ground_Sea
180,210.6,1.17,0.01,0.41,-109,Air_All
6000,32520.0,5.42,0.09,63.74,-113,Air_All
3600,13896.0,3.86,0.06,27.24,-119,Air_All
5550,68098.5,12.27,0.2,133.47,-151,Air_All
24150,59892.0,2.48,0.04,117.39,-222,Air_All
100,520.0,5.2,0.09,1.02,-75,Air_All
1000,3550.0,3.55,0.01,6.96,0,Air_All
10,94.9,9.49,0.16,0.19,-130,Air_All
80,2542.4,31.78,1.06,4.98,38,Air_All
300,1212.0,4.04,0.07,2.38,38,Air_All
400,8692.0,21.73,0.72,17.04,38,Air_All
1000,19760.0,19.76,0.33,38.73,-78,Air_All
1900,68362.0,35.98,0.3,133.99,-65,Air_All
3344,23675.52,7.08,0.12,46.4,-65,Air_All
1000,5650.0,5.65,0.02,11.07,-8,Ground_Sea
1800,5418.0,3.01,0.05,10.62,0,Ground_Sea
650,3614.0,5.56,0.02,7.08,0,Ground_Sea
30,1970.4,65.68,0.24,3.86,-24,Ground_Sea
480,3360.0,7.0,0.12,6.59,0,Air_All
550,8624.0,15.68,0.26,16.9,-142,Ground_Sea
700,2457.0,3.51,0.06,4.82,-129,Ground_Sea
200,1410.0,7.05,0.03,3.04,-59,Ground_Sea
400,1468.0,3.67,0.12,2.88,0,Ground_Sea
20,1439.8,71.99,0.72,2.3,0,Air_All
5000,50.0,0.01,0.0,0.1,0,Ground_Sea
200,2.0,0.01,0.0,0.0,0,Air_All
42,0.42,0.01,0.0,0.0,0,Air_All
84,1043.28,12.42,0.41,1.67,0,Air_All
1550,123984.5,79.99,0.8,198.38,-59,Ground_Sea
3930,39.3,0.01,0.0,0.08,0,Ground_Sea
129,1.29,0.01,0.0,0.0,-49,Ground_Sea
5000,50.0,0.01,0.0,0.1,0,Ground_Sea
746,30660.6,41.1,0.14,49.06,0,Ground_Sea
1000,79990.0,79.99,0.8,127.98,0,Ground_Sea
76128,548121.6,7.2,0.12,876.99,119,Ground_Sea
2500,80000.0,32.0,1.6,156.8,0,Air_All
1059,10.59,0.01,0.0,0.02,-118,Ground_Sea
3770,37.7,0.01,0.0,0.07,0,Air_All
25,1246.3,49.85,0.83,1.28,-207,Ground_Sea
3,206.97,68.99,1.15,0.21,0,Ground_Sea
13,438.41,33.72,1.12,0.54,0,Ground_Sea
4570,148250.8,32.44,0.2,152.4,0,Air_All
1,77.7,77.7,0.78,0.13,-12,Air_All
14,389.56,27.83,0.46,0.48,0,Ground_Sea
139,1566.38,11.27,0.38,1.61,-178,Ground_Sea
4000,14200.0,3.55,0.12,14.6,0,Air_All
4560,82080.0,18.0,0.6,84.38,89,Air_All
33,1671.87,50.66,0.84,1.72,0,Ground_Sea
16,272.7,17.04,0.19,0.28,0,Ground_Sea
100,3297.8,32.98,0.37,6.46,0,Ground_Sea
59,1653.14,28.02,0.47,1.7,0,Ground_Sea
9,620.91,68.99,1.15,0.64,207,Ground_Sea
24,2031.3,84.64,1.41,2.09,178,Ground_Sea
100,4669.76,46.7,1.56,10.07,0,Ground_Sea
3,51.42,17.14,0.06,0.05,0,Ground_Sea
28000,280560.0,10.02,0.04,604.89,-205,Air_All
6395,19185.0,3.0,0.01,41.36,192,Air_All
7,126.22,18.03,0.3,0.13,-178,Ground_Sea
48,1236.47,25.76,0.21,1.53,0,Ground_Sea
26000,392080.0,15.08,0.06,845.32,118,Air_All
192,2417.28,12.59,0.06,5.21,89,Air_All
599,11964.63,19.97,0.08,23.45,89,Ground_Sea
6,71.03,11.84,0.39,0.07,0,Ground_Sea
12000,54120.0,4.51,0.15,116.68,5,Ground_Sea
1368,21995.87,16.08,0.54,27.21,0,Ground_Sea
7,99.53,14.22,0.47,0.1,-207,Ground_Sea
1202,41228.6,34.3,0.29,88.89,-175,Air_All
115,1923.5,16.73,0.56,2.38,0,Ground_Sea
120,6660.0,55.5,0.92,7.84,0,Air_All
12,216.37,18.03,0.3,0.22,0,Ground_Sea
2200,3914.05,1.78,0.01,7.67,0,Ground_Sea
400,12800.0,32.0,1.6,15.07,0,Air_All
9612,183096.09,19.05,0.64,358.87,25,Ground_Sea
1,11.02,11.02,0.37,0.01,-178,Ground_Sea
2772,255024.0,92.0,0.92,420.79,0,Air_All
27,742.84,27.51,0.23,0.76,0,Ground_Sea
36,2509.54,69.71,0.58,2.58,89,Ground_Sea
220,3442.16,15.65,0.07,6.75,0,Ground_Sea
2040,4080.0,2.0,0.01,4.19,0,Ground_Sea
143,2313.12,16.18,0.27,2.72,59,Ground_Sea
27,3375.0,125.0,1.25,5.57,0,Air_All
300,1046.28,3.49,0.12,2.26,0,Ground_Sea
3,166.54,55.51,0.21,0.17,-207,Ground_Sea
320,3312.0,10.35,0.12,7.14,0,Air_All
12,281.25,23.44,0.78,0.29,0,Ground_Sea
46,1517.44,32.99,0.55,1.88,0,Ground_Sea
3,42.65,14.22,0.47,0.04,-207,Ground_Sea
2,46.9,23.45,0.08,0.06,0,Ground_Sea
500,1303.53,2.61,0.01,2.55,89,Ground_Sea
143,2391.83,16.73,0.56,2.96,0,Ground_Sea
29,228.8,7.89,0.03,0.28,0,Ground_Sea
39,117.24,3.01,0.1,0.12,0,Ground_Sea
206,4365.52,21.19,0.71,5.4,0,Ground_Sea
16435,133123.5,8.1,0.13,136.85,0,Ground_Sea
4,44.07,11.02,0.37,0.05,116,Ground_Sea
161,12174.82,75.62,1.26,20.09,0,Air_All
216,5512.38,25.52,0.43,6.82,0,Ground_Sea
9,143.1,15.9,0.26,0.15,0,Ground_Sea
11,198.35,18.03,0.3,0.2,-207,Ground_Sea
40,591.97,14.8,0.15,1.16,0,Ground_Sea
16,367.09,22.94,0.1,0.38,0,Ground_Sea
800,21392.98,26.74,0.89,41.93,178,Ground_Sea
11,332.32,30.21,1.01,0.34,0,Ground_Sea
16,499.07,31.19,0.52,0.51,0,Ground_Sea
82,4392.17,53.56,0.89,4.52,0,Ground_Sea
50,2037.29,40.75,0.14,4.39,-207,Ground_Sea
2247,5482.68,2.44,0.08,9.05,217,Ground_Sea
23,528.93,23.0,0.38,0.54,0,Ground_Sea
23,315.96,13.74,0.23,0.32,0,Ground_Sea
203,1855.98,9.14,0.15,1.91,178,Ground_Sea
1000,6669.31,6.67,0.03,13.07,0,Ground_Sea
30,2177.92,72.6,0.27,2.24,89,Ground_Sea
540,25796.95,47.77,1.59,55.62,0,Ground_Sea
627,13051.03,20.82,0.69,16.14,0,Ground_Sea
42,507.93,12.09,0.4,0.52,0,Ground_Sea
276,14904.0,54.0,0.9,15.32,0,Air_All
1503,1953.9,1.3,0.01,2.42,61,Air_All
153,1724.15,11.27,0.38,1.77,0,Ground_Sea
7,99.53,14.22,0.47,0.1,0,Ground_Sea
119,839.15,7.05,0.12,0.86,0,Ground_Sea
43,339.26,7.89,0.03,0.42,0,Ground_Sea
4,78.7,19.68,0.66,0.08,0,Ground_Sea
1,22.6,22.6,0.75,0.03,0,Ground_Sea
23,499.23,21.71,0.72,0.62,0,Ground_Sea
192,14519.04,75.62,1.26,23.96,-88,Air_All
1485,27749.02,18.69,0.62,28.53,0,Ground_Sea
1500,29714.49,19.81,0.66,64.06,0,Ground_Sea
10368,13478.4,1.3,0.01,16.67,61,Air_All
191,1261.81,6.61,0.11,1.3,0,Ground_Sea
24,588.25,24.51,0.1,0.6,0,Ground_Sea
60,1470.62,24.51,0.1,1.51,0,Ground_Sea
17,460.89,27.11,0.45,0.57,0,Ground_Sea
5000,16500.0,3.3,0.11,19.42,60,Air_All
12,424.25,35.35,0.29,0.44,178,Ground_Sea
20,434.11,21.71,0.72,0.54,0,Ground_Sea
3,38.47,12.82,0.21,0.04,-207,Ground_Sea
500,7451.43,14.9,0.25,16.07,0,Ground_Sea
3,51.42,17.14,0.06,0.05,-89,Ground_Sea
4292,17235.27,4.02,0.13,33.78,118,Ground_Sea
15,45.09,3.01,0.1,0.05,0,Ground_Sea
18,405.71,22.54,0.38,0.42,0,Ground_Sea
183,1802.16,9.85,0.16,2.23,0,Ground_Sea
17,91.92,5.41,0.02,0.09,0,Ground_Sea
22,1465.2,66.6,0.55,1.81,0,Air_All
13,103.95,8.0,0.03,0.13,0,Ground_Sea
235,4891.53,20.82,0.69,6.05,0,Ground_Sea
400,9304.0,23.26,0.78,10.95,-89,Air_All
200,4652.0,23.26,0.78,4.78,0,Air_All
27,742.84,27.51,0.23,0.76,0,Ground_Sea
17760,177600.0,10.0,0.33,209.04,-92,Air_All
292,9562.36,32.75,0.55,11.83,0,Ground_Sea
1,65.75,65.75,1.1,0.07,0,Ground_Sea
2,51.37,25.68,0.43,0.06,-119,Ground_Sea
92,305.1,3.32,0.11,0.38,0,Ground_Sea
74,521.82,7.05,0.12,0.54,0,Ground_Sea
1251,38555.82,30.82,0.1,83.13,58,Air_All
8000,375880.98,46.99,0.39,736.73,-118,Ground_Sea
2837,73030.7,25.74,0.86,143.14,-88,Ground_Sea
226,4088.15,18.09,0.3,5.06,-116,Ground_Sea
54,382.47,7.08,0.03,0.39,0,Ground_Sea
6,71.03,11.84,0.39,0.07,0,Ground_Sea
6,507.86,84.64,1.41,0.52,207,Ground_Sea
101,2601.73,25.76,0.21,3.22,0,Ground_Sea
84,5795.22,68.99,1.15,5.96,178,Ground_Sea
25,659.22,26.37,0.29,0.82,0,Ground_Sea
400,22200.0,55.5,0.92,26.13,60,Air_All
1,15.25,15.25,0.51,0.02,207,Ground_Sea
13,103.95,8.0,0.03,0.13,0,Ground_Sea
2,46.9,23.45,0.08,0.06,0,Ground_Sea
119,394.64,3.32,0.11,0.49,0,Ground_Sea
47,2215.03,47.13,0.39,2.28,-178,Ground_Sea
3,76.78,25.59,0.21,0.08,-207,Ground_Sea
31,1022.62,32.99,0.55,1.26,0,Ground_Sea
1200,34631.24,28.86,0.96,74.66,0,Ground_Sea
17,98.29,5.78,0.1,0.12,-116,Ground_Sea
915,15162.72,16.57,0.55,18.76,0,Ground_Sea
24000,196800.0,8.2,0.14,202.31,-178,Air_All
220,2011.46,9.14,0.15,2.07,0,Ground_Sea
336,10752.0,32.0,1.6,17.74,-118,Air_All
10,162.9,16.29,0.27,0.32,0,Ground_Sea
17,322.98,19.0,0.08,0.33,0,Ground_Sea
4,60.98,15.24,0.51,0.06,0,Ground_Sea
150,910.31,6.07,0.1,1.96,59,Ground_Sea
2500,5400.0,2.16,0.04,6.36,178,Air_All
150,6083.68,40.56,0.34,13.12,0,Ground_Sea
1065,34080.0,32.0,1.6,56.23,0,Ground_Sea
2,9.24,4.62,0.05,0.01,0,Ground_Sea
132,1487.53,11.27,0.38,1.53,0,Ground_Sea
5,55.08,11.02,0.37,0.06,0,Ground_Sea
708,2696.29,3.81,0.13,5.28,0,Ground_Sea
24,551.92,23.0,0.38,0.57,0,Ground_Sea
6715,127912.01,19.05,0.64,250.71,89,Ground_Sea
22333,359064.74,16.08,0.54,444.16,0,Ground_Sea
27,1498.82,55.51,0.21,1.54,0,Ground_Sea
3532,41483.17,11.74,0.2,51.31,0,Ground_Sea
211,4768.7,22.6,0.75,5.9,0,Ground_Sea
6,95.4,15.9,0.26,0.1,0,Ground_Sea
31,672.87,21.71,0.72,0.83,0,Ground_Sea
12,212.96,17.75,0.3,0.22,207,Ground_Sea
43,317.79,7.39,0.03,0.39,1,Ground_Sea
620,6417.0,10.35,0.12,13.84,0,Air_All
108211,488031.61,4.51,0.15,1052.2,5,Ground_Sea
1531,17070.65,11.15,0.37,21.12,-205,Air_All
62,1448.18,23.36,0.39,1.79,-116,Ground_Sea
22,282.13,12.82,0.21,0.29,0,Ground_Sea
100,2733.35,27.33,0.91,5.36,0,Ground_Sea
1543,49376.0,32.0,1.6,58.12,0,Air_All
3,33.05,11.02,0.37,0.03,-207,Ground_Sea
45,2752.41,61.16,1.02,2.83,0,Ground_Sea
120,4978.94,41.49,0.14,10.73,-148,Ground_Sea
53,2642.19,49.85,0.83,2.72,0,Ground_Sea
1,61.16,61.16,1.02,0.06,-207,Ground_Sea
140,5040.0,36.0,0.3,5.18,0,Air_All
15,978.47,65.23,1.09,1.01,178,Ground_Sea
12,216.37,18.03,0.3,0.22,0,Ground_Sea
12,339.36,28.28,0.94,0.42,-116,Ground_Sea
